,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
971,Technische Universitt Mnchen,Bachelor of Science in Chemical Engineering,Singapore Institute of Technology,3130,2500,2900,67.9,3700,3149,2776,2016,78.6
972,Technische Universitt Mnchen,Bachelor of Science in Electrical Engineering  Information Technology,Singapore Institute of Technology,3000,2825,3000,86.4,3350,3042,2978,2016,90.9
973,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,Singapore Institute of Technology,2300,2000,2250,69,2500,2344,2231,2016,86.2
974,Trinity College Dublin  Singapore Institute of TechnologyTrinity College Dublin,Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,3660,3400,3385,88.2,3930,3628,3406,2016,88.2
975,Trinity College Dublin  Singapore Institute of TechnologyTrinity College Dublin,Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,3200,3100,3200,100,3500,3301,3297,2016,100
976,Trinity College Dublin  Singapore Institute of TechnologyTrinity College Dublin,Bachelor in Science (Physiotherapy),Singapore Institute of Technology,3300,3240,3300,100,3500,3344,3310,2016,100
977,Trinity College Dublin  Singapore Institute of TechnologyTrinity College Dublin,Bachelor in Science (Radiation Therapy),Singapore Institute of Technology,na,na,na,na,na,na,na,2016,na
978,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,Singapore Institute of Technology,3200,2800,3000,65.3,3700,3277,3042,2016,81.6
979,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,Singapore Institute of Technology,3275,2900,3225,64.4,4009,3390,3312,2016,82.2
980,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,Singapore Institute of Technology,3200,3000,3000,70.4,3365,3273,3187,2016,87
981,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,Singapore Institute of Technology,3300,3000,3200,80.3,3800,3523,3406,2016,88.7
982,University of Glasgow,Bachelor of Science with Honours in Computing Science,Singapore Institute of Technology,3600,3400,3600,81.6,3900,3704,3645,2016,89.8
983,University of Manchester,Bachelor of Science with Honours in Nursing Practice,Singapore Institute of Technology,3600,3400,3400,85.5,3750,3600,3378,2016,92.7
984,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,4200,3700,4200,81.5,4600,4131,4096,2016,92.6
985,Wheelock College,Bachelor of Science in Early Childhood Education,Singapore Institute of Technology,2700,2600,2700,92,2850,2707,2705,2016,98
986,na,Bachelor of Engineering (Engineering Product Development),Singapore University of Technology and Design,3600,3300,3500,79.7,3750,3690,3620,2016,87
987,na,Bachelor of Engineering (Information Systems Technology and Design),Singapore University of Technology and Design,4000,3500,4000,91.9,4950,4232,4197,2016,91.9
988,na,Bachelor of Engineering (Engineering Systems and Design),Singapore University of Technology and Design,3650,3550,3600,93.5,4200,3830,3695,2016,100
989,na,Bachelor of Science (Architecture and Sustainable Design),Singapore University of Technology and Design,na,na,na,na,na,na,na,2016,na
990,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),Nanyang Technological University,3000,2900,3000,94.5,3100,3166,3121,2017,97.1
991,College of Business (Nanyang Business School),Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),Nanyang Technological University,3600,3013,3500,94.3,4317,3892,3830,2017,97.2
992,College of Business (Nanyang Business School),Bachelor of Business (Hons),Nanyang Technological University,3300,3000,3300,80.8,3800,3643,3530,2017,93
993,College of Business (Nanyang Business School),Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),Nanyang Technological University,5000,4000,4750,95,5362,5225,5036,2017,100
994,College of Engineering,Bachelor of Engineering (Hons) (Aerospace Engineering),Nanyang Technological University,3500,3250,3492,75,4210,3702,3645,2017,80
995,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
996,College of Engineering,Bachelor of Engineering (Hons) (Bioengineering),Nanyang Technological University,3419,3000,3200,65.2,3825,3486,3326,2017,78.3
997,College of Engineering,Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),Nanyang Technological University,3500,3200,3200,75.3,4000,3577,3326,2017,82.3
998,College of Engineering,Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
999,College of Engineering,Bachelor of Engineering (Hons) (Civil Engineering),Nanyang Technological University,3400,3190,3300,96.9,3675,3442,3373,2017,98.5
1000,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1001,College of Engineering,Bachelor of Engineering (Hons) (Computer Engineering),Nanyang Technological University,3600,3450,3600,87.8,3925,3743,3667,2017,95.1
1002,College of Engineering,Bachelor of Engineering (Hons) (Computer Science),Nanyang Technological University,3850,3500,3750,86.7,4500,4160,4078,2017,92.4
1003,College of Engineering,Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering),Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1004,College of Engineering,Bachelor of Engineering (Hons) (Electrical  Electronic Engineering),Nanyang Technological University,3600,3200,3500,85,4000,3657,3532,2017,89.3
1005,College of Engineering,Bachelor of Engineering (Hons) (Environmental Engineering),Nanyang Technological University,3635,3200,3475,64.1,3950,3588,3538,2017,71.8
1006,College of Engineering,Bachelor of Engineering (Hons) (Information Engineering  Media),Nanyang Technological University,3700,3350,3677,78.7,4200,3790,3685,2017,86.9
1007,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Information Engineering  Media) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1008,College of Engineering,Bachelor of Science (Hons) (Maritime Studies),Nanyang Technological University,3320,3000,3200,92.2,3500,3333,3279,2017,92.2
1009,College of Engineering,Bachelor of Engineering (Hons) (Materials Engineering),Nanyang Technological University,3375,3200,3200,75.6,3700,3434,3288,2017,84.9
1010,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1011,College of Engineering,Bachelor of Engineering (Hons) (Mechanical Engineering),Nanyang Technological University,3450,3100,3300,74.9,4000,3579,3422,2017,82.7
1012,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1013,College of Engineering,Bachelor of Fine Arts (Hons),Nanyang Technological University,2800,2500,2800,54,3200,2909,2862,2017,88.5
1014,College of Engineering,Bachelor of Arts (Hons) in Chinese,Nanyang Technological University,3300,2750,3300,67.7,3500,3147,3119,2017,84.6
1015,College of Engineering,Bachelor of Communication Studies (Hons),Nanyang Technological University,3000,2775,3000,62.2,3500,3184,3134,2017,92.6
1016,College of Engineering,Bachelor of Arts (Hons) in Economics,Nanyang Technological University,3240,3000,3200,75.5,3720,3379,3286,2017,84.7
1017,College of Engineering,Bachelor of Arts (Hons) in English,Nanyang Technological University,3000,2800,3000,50.8,3300,3149,3042,2017,77.8
1018,College of Engineering,Bachelor of Arts (Hons) in History,Nanyang Technological University,3200,3000,3100,68.4,3600,3265,3206,2017,86
1019,College of Engineering,Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,Nanyang Technological University,3100,2600,3000,60,3500,3117,3042,2017,80
1020,College of Engineering,Bachelor of Arts (Hons) in Philosophy,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1021,College of Engineering,Bachelor of Arts (Hons) in Psychology,Nanyang Technological University,3200,2890,3107,59.2,3500,3151,3107,2017,78.9
1022,College of Engineering,Bachelor of Arts (Hons) in Public Policy And Global Affairs,Nanyang Technological University,3395,3160,3300,66.7,3750,3479,3353,2017,74.1
1023,College of Engineering,Bachelor of Arts (Hons) in Sociology,Nanyang Technological University,3228,2970,3200,62.1,3500,3309,3263,2017,77.6
1024,College of Sciences,Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine),Nanyang Technological University,2950,2500,2928,80,3035,2792,2722,2017,92
1025,College of Sciences,Bachelor of Science (Hons) in Biological Sciences,Nanyang Technological University,3200,3000,3100,62.6,3500,3255,3177,2017,80.4
1026,College of Sciences,Bachelor of Science (Hons) in Chemistry  Biological Chemistry,Nanyang Technological University,3100,2800,3000,51.1,3488,3173,3035,2017,70.1
1027,College of Sciences,Bachelor of Science (Hons) in Mathematical Sciences,Nanyang Technological University,3500,3100,3400,79.5,3800,3580,3517,2017,89.7
1028,College of Sciences,Bachelor of Science (Hons) in Mathematics  Economics,Nanyang Technological University,3400,3013,3290,83.1,3775,3625,3504,2017,89.8
1029,College of Sciences,Bachelor of Science (Hons) in PhysicsApplied Physics,Nanyang Technological University,3300,3000,3300,61.8,3819,3490,3367,2017,81.6
1030,Sports Science and Management,Bachelor of Science (Hons) (Sport Science  Management),Nanyang Technological University,3450,2800,3285,48.6,4000,3486,3372,2017,81.1
1031,National Institute of Education (NIE),Bachelor of Arts (Hons) (Education),Nanyang Technological University,3600,3500,3600,100,3800,3589,3489,2017,100
1032,National Institute of Education (NIE),Bachelor of Science (Hons) (Education),Nanyang Technological University,3701,3500,3603,100,3958,3701,3610,2017,100
1033,Faculty of Arts Social Sciences,Bachelor of Arts,National University of Singapore,3000,2700,3000,61.9,3300,3107,3005,2017,85.8
1034,Faculty of Arts Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3360,3000,3300,66.7,3600,3391,3309,2017,88.2
1035,Faculty of Arts Social Sciences,Bachelor of Social Sciences,National University of Singapore,3300,3000,3300,74.7,3750,3443,3365,2017,88.3
1036,Faculty Of Engineering,Bachelor of Engineering (Biomedical Engineering),National University of Singapore,3300,3000,3200,81.3,3700,3367,3215,2017,90.6
1037,Faculty Of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3600,3300,3500,81.3,4000,3727,3550,2017,87.8
1038,Faculty Of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3300,3135,3300,90.9,3700,3427,3361,2017,95.5
1039,Faculty Of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3600,3300,3500,86.5,3900,3641,3529,2017,89.4
1040,Faculty Of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3675,3440,3600,64.7,4200,3827,3783,2017,76.5
1041,Faculty Of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3350,3000,3100,71.2,3800,3546,3425,2017,86.3
1042,Faculty Of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3875,3450,3725,89.9,4200,4035,3905,2017,93.3
1043,Faculty Of Engineering,Bachelor of Engineering (Materials Science And Engineering),National University of Singapore,3388,3200,3200,86,3950,3570,3269,2017,94
1044,Faculty Of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3450,3100,3400,82.3,4000,3657,3537,2017,87.3
1045,Faculty of Law,Bachelor of Laws,National University of Singapore,5000,4500,5000,92.3,5600,5121,4958,2017,95.8
1046,Faculty of Science,Bachelor of Applied Science,National University of Singapore,na,na,na,na,na,na,na,2017,na
1047,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,3085,2800,3075,50,3200,3187,3186,2017,82.1
1048,Faculty of Science,Bachelor of Science,National University of Singapore,3082,2800,3000,54.5,3400,3214,3053,2017,76.9
1049,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3300,3000,3200,69.3,3700,3435,3340,2017,85.9
1050,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2017,na
1051,Faculty of Science,Bachelor of Science (Pharmacy),National University of Singapore,3600,3500,3500,94.5,3800,3616,3473,2017,99.1
1052,NUS Business School,Bachelor of Business Administration,National University of Singapore,3500,3000,3400,87.3,4333,4031,3770,2017,94.9
1053,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3800,3450,3725,93.6,4782,4388,4272,2017,98.2
1054,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,3025,3000,3000,94.4,3600,3473,3396,2017,97.2
1055,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,3125,3000,3100,100,4023,3744,3689,2017,100
1056,School of Computing,Bachelor of Computing (Communications And Media),National University of Singapore,na,na,na,na,na,na,na,2017,na
1057,School of Computing,Bachelor of Computing (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2017,na
1058,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,4285,3656,4200,89.4,5000,4628,4510,2017,93.5
1059,School of Computing,Bachelor of Computing (Electronic Commerce),National University of Singapore,na,na,na,na,na,na,na,2017,na
1060,School of Computing,Bachelor of Computing (Information Security),National University of Singapore,na,na,na,na,na,na,na,2017,na
1061,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,4000,3550,4000,91.8,4592,4192,4061,2017,94.5
1062,School of Computing,Bachelor of Science (Business Analytics),National University of Singapore,4000,3500,3810,97.6,4766,4203,4114,2017,97.6
1063,School of Design  Environment,Bachelor of Arts (Architecture),National University of Singapore,4000,3780,4000,86.4,4300,4079,4037,2017,91.3
1064,School of Design  Environment,Bachelor of Arts (Industrial Design),National University of Singapore,2920,2600,2890,60,3200,3079,3034,2017,93.3
1065,School of Design  Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2900,3000,81.7,3300,3162,3105,2017,90.8
1066,School of Design  Environment,Bachelor of Science (Real Estate),National University of Singapore,3000,2800,3000,88.7,3300,3168,3090,2017,93.8
1067,Yong Loo Lin School (Medicine),Bachelor of Medicine And Bachelor Of Surgery,National University of Singapore,5000,4500,4500,100,5305,4882,4367,2017,100
1068,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),National University of Singapore,3400,3200,3200,97.4,3450,3328,3165,2017,97.4
1069,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),National University of Singapore,3500,3300,3300,89.8,3650,3462,3280,2017,91.8
1070,YST Conservatory Of Music,Bachelor of Music,National University of Singapore,2225,2050,2025,26.7,2950,2500,2298,2017,73.3
1071,YaleNUS College,Bachelor of Arts with Honours,National University of Singapore,3500,3075,3500,76.6,4000,3956,3812,2017,93.5
1072,YaleNUS College,Bachelor of Science with Honours,National University of Singapore,4083,3600,4083,75,4875,4362,4362,2017,91.7
1073,MultiDisciplinary Programmes,Bachelor of Engineering (Computer Engineering),National University of Singapore,3900,3588,3600,84.7,4500,4131,4010,2017,89.4
1074,MultiDisciplinary Programmes,Bachelor of Environmental Studies,National University of Singapore,3300,3000,3200,62.3,3600,3419,3297,2017,88.7
1075,School of Accountancy (4year programme),Accountancy,Singapore Management University,3000,2920,3000,96.6,3600,3646,3569,2017,98
1076,School of Accountancy (4year programme),Accountancy Cum Laude and above,Singapore Management University,3200,3000,3200,97.8,4645,4089,4037,2017,97.8
1077,School of Business (4year programme),Business Management,Singapore Management University,3500,3050,3475,85.7,4362,3995,3862,2017,93.3
1078,School of Business (4year programme),Business Management Cum Laude and above,Singapore Management University,4000,3300,3880,92,5000,4504,4364,2017,95.8
1079,School of Economics (4year programme),Economics,Singapore Management University,3700,3300,3600,82.6,4583,4143,4013,2017,91.3
1080,School of Economics (4year programme),Economics Cum Laude and above,Singapore Management University,4100,3600,4000,90.5,5113,4737,4591,2017,93.2
1081,School of Information Systems (4year programme),Information Systems Management,Singapore Management University,4000,3550,3905,91.3,4500,4014,3922,2017,95.1
1082,School of Information Systems (4year programme),Information Systems Management Cum Laude and above,Singapore Management University,4334,4000,4334,94.1,4750,4305,4211,2017,96.1
1083,School of Social Sciences (4year programme),Social Sciences,Singapore Management University,3300,3000,3250,78,3750,3493,3344,2017,91.3
1084,School of Social Sciences (4year programme),Social Sciences Cum Laude and above,Singapore Management University,3630,3300,3600,81.8,4000,3938,3810,2017,87.9
1085,School of Law (4year programme),Law,Singapore Management University,5000,4000,4500,94,5840,4941,4778,2017,97.6
1086,School of Law (4year programme),Law Cum Laude and above,Singapore Management University,5600,4200,5450,97.9,6000,5287,5163,2017,97.9
1087,DigiPen Institute of Technology,Bachelor of Arts in Game Design,Singapore Institute of Technology,3000,2800,3000,92.3,3200,3067,3040,2017,96.2
1088,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts Animation,Singapore Institute of Technology,2875,2700,2825,69.2,3000,2876,2859,2017,88.5
1089,Faculty Of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4050,4000,4050,100,4400,4143,4124,2017,100
1090,DigiPen Institute of Technology,Bachelor of Science in Computer Science  Game Design,Singapore Institute of Technology,3250,2900,3250,100,3600,3291,3232,2017,100
1091,DigiPen Institute of Technology,Bachelor of Science in Computer Science in RealTime Interactive Simulation,Singapore Institute of Technology,3800,3558,3800,90.6,4140,3904,3898,2017,96.9
1092,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,Singapore Institute of Technology,2700,2500,2600,68.5,3200,2949,2819,2017,90.7
1093,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,Singapore Institute of Technology,2700,2500,2700,87.2,3000,2841,2818,2017,92.3
1094,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,Singapore Institute of Technology,3255,2975,3100,62.1,3600,3290,3061,2017,77.3
1095,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,Singapore Institute of Technology,3200,3000,3200,88.9,3450,3269,3191,2017,94.4
1096,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,Singapore Institute of Technology,3500,3000,3300,88.5,4000,3541,3461,2017,96.2
1097,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design  Manufacturing Engineering,Singapore Institute of Technology,3000,2800,3000,85.7,3350,3145,3063,2017,90.5
1098,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,Singapore Institute of Technology,3300,3200,3300,95.5,3500,3537,3451,2017,95.5
1099,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,Singapore Institute of Technology,3300,3300,3300,86.7,3950,3866,3792,2017,100
1100,Newcastle University,Bachelor of Science with Honours in Food  Human Nutrition,Singapore Institute of Technology,2700,2475,2600,79.1,3200,2980,2784,2017,97.7
1101,Technische Universitt Mnchen,Bachelor of Science in Chemical Engineering,Singapore Institute of Technology,3200,3000,3000,74.1,3375,3301,3061,2017,84.5
1102,Technische Universitt Mnchen,Bachelor of Science in Electrical Engineering  Information Technology,Singapore Institute of Technology,3400,3000,3175,82.8,4000,3591,3504,2017,82.8
1103,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,Singapore Institute of Technology,2300,2200,2300,54.5,3259,2598,2357,2017,87.9
1104,Singapore Institute of Technology Trinity College Dublin  Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,na,na,na,na,na,na,na,2017,na
1105,Singapore Institute of Technology Trinity College Dublin  Trinity College Dublin,Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,3300,3020,3250,97.1,3450,3258,3217,2017,100
1106,Singapore Institute of Technology Trinity College Dublin  Trinity College Dublin,Bachelor in Science (Physiotherapy),Singapore Institute of Technology,3400,3300,3350,96.8,3500,3489,3483,2017,100
1107,Singapore Institute of Technology Trinity College Dublin  Trinity College Dublin,Bachelor in Science (Radiation Therapy),Singapore Institute of Technology,na,na,na,na,na,na,na,2017,na
1108,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,Singapore Institute of Technology,3200,2950,3100,65.6,3700,3481,3367,2017,81.3
1109,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,Singapore Institute of Technology,3125,2625,3125,52.5,3650,3280,3207,2017,80
1110,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,Singapore Institute of Technology,3200,3000,3100,87.9,3700,3670,3608,2017,96.6
1111,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,Singapore Institute of Technology,3400,3000,3050,86.5,4000,3595,3412,2017,94.6
1112,University of Glasgow,Bachelor of Science with Honours in Computing Science,Singapore Institute of Technology,3600,3300,3600,85.9,4200,3724,3633,2017,95.8
1113,University of Manchester,Bachelor of Science with Honours in Nursing Practice,Singapore Institute of Technology,3650,3600,3400,96.5,3900,3741,3507,2017,98.2
1114,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,Singapore Institute of Technology,3800,3050,3800,69.5,4160,3825,3759,2017,86.4
1115,Wheelock College,Bachelor of Science in Early Childhood Education,Singapore Institute of Technology,2900,2800,2900,92.9,3000,2890,2883,2017,96.4
1116,Singapore Institute of Technology,Bachelor of Accountancy with Honours,Singapore Institute of Technology,3088,2975,3050,92.1,3250,3113,3073,2017,94.1
1117,Singapore Institute of Technology,Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,2800,2500,2700,84.2,3100,2829,2713,2017,94.7
1118,na,Bachelor of Engineering (Engineering Product Development),Singapore University of Technology and Design,3600,3450,3600,87.3,3800,3638,3594,2017,89.9
1119,na,Bachelor of Engineering (Information Systems Technology and Design),Singapore University of Technology and Design,4023,3600,4000,100,4900,4175,4146,2017,100
1120,na,Bachelor of Engineering (Engineering Systems and Design),Singapore University of Technology and Design,3850,3600,3800,85.4,4210,3956,3856,2017,91.7
1121,na,Bachelor of Science (Architecture and Sustainable Design),Singapore University of Technology and Design,na,na,na,na,na,na,na,2017,na
1122,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2017,na
1123,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),Nanyang Technological University,3000,2900,3000,94.5,3100,3166,3121,2017,97.1
1124,College of Business (Nanyang Business School),Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),Nanyang Technological University,3600,3013,3500,94.3,4317,3892,3830,2017,97.2
1125,College of Business (Nanyang Business School),Bachelor of Business (Hons),Nanyang Technological University,3300,3000,3300,80.8,3800,3643,3530,2017,93
1126,College of Business (Nanyang Business School),Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),Nanyang Technological University,5000,4000,4750,95,5362,5225,5036,2017,100
1127,College of Engineering,Bachelor of Engineering (Hons) (Aerospace Engineering),Nanyang Technological University,3500,3250,3492,75,4210,3702,3645,2017,80
1128,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1129,College of Engineering,Bachelor of Engineering (Hons) (Bioengineering),Nanyang Technological University,3419,3000,3200,65.2,3825,3486,3326,2017,78.3
1130,College of Engineering,Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),Nanyang Technological University,3500,3200,3200,75.3,4000,3577,3326,2017,82.3
1131,College of Engineering,Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1132,College of Engineering,Bachelor of Engineering (Hons) (Civil Engineering),Nanyang Technological University,3400,3190,3300,96.9,3675,3442,3373,2017,98.5
1133,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1134,College of Engineering,Bachelor of Engineering (Hons) (Computer Engineering),Nanyang Technological University,3600,3450,3600,87.8,3925,3743,3667,2017,95.1
1135,College of Engineering,Bachelor of Engineering (Hons) (Computer Science),Nanyang Technological University,3850,3500,3750,86.7,4500,4160,4078,2017,92.4
1136,College of Engineering,Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering),Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1137,College of Engineering,Bachelor of Engineering (Hons) (Electrical  Electronic Engineering),Nanyang Technological University,3600,3200,3500,85,4000,3657,3532,2017,89.3
1138,College of Engineering,Bachelor of Engineering (Hons) (Environmental Engineering),Nanyang Technological University,3635,3200,3475,64.1,3950,3588,3538,2017,71.8
1139,College of Engineering,Bachelor of Engineering (Hons) (Information Engineering  Media),Nanyang Technological University,3700,3350,3677,78.7,4200,3790,3685,2017,86.9
1140,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Information Engineering  Media) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1141,College of Engineering,Bachelor of Science (Hons) (Maritime Studies),Nanyang Technological University,3320,3000,3200,92.2,3500,3333,3279,2017,92.2
1142,College of Engineering,Bachelor of Engineering (Hons) (Materials Engineering),Nanyang Technological University,3375,3200,3200,75.6,3700,3434,3288,2017,84.9
1143,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1144,College of Engineering,Bachelor of Engineering (Hons) (Mechanical Engineering),Nanyang Technological University,3450,3100,3300,74.9,4000,3579,3422,2017,82.7
1145,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1146,College of Engineering,Bachelor of Fine Arts (Hons),Nanyang Technological University,2800,2500,2800,54,3200,2909,2862,2017,88.5
1147,College of Engineering,Bachelor of Arts (Hons) in Chinese,Nanyang Technological University,3300,2750,3300,67.7,3500,3147,3119,2017,84.6
1148,College of Engineering,Bachelor of Communication Studies (Hons),Nanyang Technological University,3000,2775,3000,62.2,3500,3184,3134,2017,92.6
1149,College of Engineering,Bachelor of Arts (Hons) in Economics,Nanyang Technological University,3240,3000,3200,75.5,3720,3379,3286,2017,84.7
1150,College of Engineering,Bachelor of Arts (Hons) in English,Nanyang Technological University,3000,2800,3000,50.8,3300,3149,3042,2017,77.8
1151,College of Engineering,Bachelor of Arts (Hons) in History,Nanyang Technological University,3200,3000,3100,68.4,3600,3265,3206,2017,86
1152,College of Engineering,Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,Nanyang Technological University,3100,2600,3000,60,3500,3117,3042,2017,80
1153,College of Engineering,Bachelor of Arts (Hons) in Philosophy,Nanyang Technological University,na,na,na,na,na,na,na,2017,na
1154,College of Engineering,Bachelor of Arts (Hons) in Psychology,Nanyang Technological University,3200,2890,3107,59.2,3500,3151,3107,2017,78.9
1155,College of Engineering,Bachelor of Arts (Hons) in Public Policy And Global Affairs,Nanyang Technological University,3395,3160,3300,66.7,3750,3479,3353,2017,74.1
1156,College of Engineering,Bachelor of Arts (Hons) in Sociology,Nanyang Technological University,3228,2970,3200,62.1,3500,3309,3263,2017,77.6
1157,College of Sciences,Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine),Nanyang Technological University,2950,2500,2928,80,3035,2792,2722,2017,92
1158,College of Sciences,Bachelor of Science (Hons) in Biological Sciences,Nanyang Technological University,3200,3000,3100,62.6,3500,3255,3177,2017,80.4
1159,College of Sciences,Bachelor of Science (Hons) in Chemistry  Biological Chemistry,Nanyang Technological University,3100,2800,3000,51.1,3488,3173,3035,2017,70.1
1160,College of Sciences,Bachelor of Science (Hons) in Mathematical Sciences,Nanyang Technological University,3500,3100,3400,79.5,3800,3580,3517,2017,89.7
1161,College of Sciences,Bachelor of Science (Hons) in Mathematics  Economics,Nanyang Technological University,3400,3013,3290,83.1,3775,3625,3504,2017,89.8
1162,College of Sciences,Bachelor of Science (Hons) in PhysicsApplied Physics,Nanyang Technological University,3300,3000,3300,61.8,3819,3490,3367,2017,81.6
