,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
146,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3498,3300,3400,100,3800,3478,3377,2013,100
147,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3498,3400,3426,100,3575,3506,3413,2013,100
148,Faculty of Arts Social Sciences,Bachelor of Arts,National University of Singapore,2800,2500,2730,70.1,3080,2888,2741,2013,84.8
149,Faculty of Arts Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3200,2800,3200,74.6,3500,3154,3057,2013,86.6
150,Faculty of Arts Social Sciences,Bachelor of Social Sciences,National University of Singapore,3200,2800,3100,76.8,3500,3210,3098,2013,88.1
151,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2700,2868,81.7,3370,3062,2960,2013,88.7
152,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3200,2800,3050,90.3,3800,3512,3404,2013,94.6
153,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2700,2700,2700,88.9,3018,2922,2740,2013,93.3
154,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2800,2700,2800,94.4,3200,3143,3065,2013,97.2
155,School of Computing,Bachelor of Computing (Communications and Media),National University of Singapore,3050,2825,3000,77.8,3425,3377,3350,2013,88.9
156,School of Computing,Bachelor of Computing (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2013,na
157,School of Computing,Bachelor of Computing (Computer Engineering),National University of Singapore,na,na,na,na,na,na,na,2013,na
158,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,3425,3000,3400,83.3,4000,3953,3933,2013,92.4
159,School of Computing,Bachelor of Computing (Electronic Commerce),National University of Singapore,3080,2800,3050,83.3,3553,3320,3277,2013,88.9
160,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,3005,3000,3000,83.9,3800,3322,3266,2013,89.2
161,Faculty of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4000,4000,4000,100,4400,4106,4106,2013,100
162,School of Design  Environment,Bachelor of Arts (Architecture) ,National University of Singapore,na,na,na,na,na,na,na,2013,na
163,School of Design  Environment,Bachelor of Arts (Industrial Design),National University of Singapore,2650,2400,2650,53.6,3000,3023,3007,2013,82.1
164,School of Design  Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2800,2980,96.8,3200,3025,2961,2013,96.8
165,School of Design  Environment,Bachelor of Science (Real Estate),National University of Singapore,2900,2600,2800,89.2,3179,2988,2839,2013,89.2
166,Faculty of Engineering,Bachelor of Engineering (Bioengineering),National University of Singapore,3000,2720,3000,60,3250,3068,2823,2013,74
167,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3175,3000,3000,90,3644,3359,3245,2013,93.2
168,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3050,3000,3000,94.1,3300,3154,3140,2013,96.1
169,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),National University of Singapore,3200,3000,3200,85.6,3970,3653,3592,2013,88.9
170,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3200,3000,3100,88,3600,3334,3286,2013,88.5
171,Faculty of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3000,2800,3000,75.9,3150,2960,2940,2013,86.2
172,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3110,3000,3100,87.5,3500,3208,3153,2013,93.8
173,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3200,3000,3200,92.4,3800,3397,3330,2013,93.9
174,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),National University of Singapore,3000,3000,3000,87.9,3260,3169,3036,2013,90.9
175,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3225,3000,3000,87.2,3500,3319,3155,2013,89.1
176,Faculty of Law,Bachelor of Laws (LLB) (Hons),National University of Singapore,5000,4500,4800,98.2,5800,5099,4922,2013,98.8
177,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS),National University of Singapore,4500,4500,4500,100,5200,4741,4406,2013,100
178,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,2950,2700,2750,97.5,3050,2886,2687,2013,97.5
179,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3025,3000,3000,100,3200,3042,2896,2013,100
180,Yong Siew Toh Conservatory of Music,Bachelor of Music,National University of Singapore,na,na,na,na,na,na,na,2013,na
181,Faculty of Science,Bachelor of Applied Science,National University of Singapore,na,na,na,na,na,na,na,2013,na
182,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,2900,2600,2750,97.3,3255,2925,2850,2013,97.3
183,Faculty of Science,Bachelor of Science,National University of Singapore,2800,2600,2700,65.1,3000,2804,2726,2013,80.9
184,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3100,2868,3000,74,3500,3217,3101,2013,83.6
185,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2013,na
186,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),National University of Singapore,3500,3350,3500,96.4,3750,3540,3473,2013,96.4
187,School of Accountancy (4year programme),Accountancy (4year programme),Singapore Management University,2825,2700,2800,93.2,3430,3342,3231,2013,94.2
188,School of Accountancy (4year programme),Accountancy (4year programme) Cum Laude and above,Singapore Management University,3000,2700,2900,95.2,3750,3634,3580,2013,95.2
189,School of Business (4year programme),Business Management (4year programme),Singapore Management University,3200,2800,3000,87.3,3750,3520,3344,2013,93.2
190,School of Business (4year programme),Business Management (4year programme) Cum Laude and above,Singapore Management University,3580,3000,3500,93.8,4100,3975,3825,2013,95.9
191,School of Economics (4year programme),Economics (4year programme),Singapore Management University,3339,3000,3200,88.6,3800,3513,3389,2013,90.6
192,School of Economics (4year programme),Economics (4year programme) Cum Laude and above,Singapore Management University,3600,3250,3500,94,4000,3820,3731,2013,94
193,School of Information Systems (4year programme),Information Systems Management (4year programme),Singapore Management University,3300,3000,3300,89.5,3800,3468,3389,2013,93.6
194,School of Information Systems (4year programme),Information Systems Management (4year programme) Cum Laude and above,Singapore Management University,3800,3500,3725,90.9,4000,3862,3786,2013,100
195,School of Social Sciences (4year programme),Social Sciences (4year programme),Singapore Management University,3000,2600,3000,79.8,3320,3150,3122,2013,86.5
196,School of Social Sciences (4year programme),Social Sciences (4year programme) Cum Laude and above,Singapore Management University,3200,2800,3200,83.3,3781,3267,3251,2013,87.5
197,School of Law (4year programme),Law (4year programme),Singapore Management University,5000,4500,4800,100,6000,5246,5023,2013,100
198,School of Law (4year programme),Law (4year programme) Cum Laude and above,Singapore Management University,5547,4750,5000,100,6400,5617,5329,2013,100
199,Faculty of Science,Bachelor of Science,National University of Singapore,2800,2600,2700,65.1,3000,2804,2726,2013,80.9
200,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3350,2900,3200,96.1,4000,3727,3701,2013,97.4
201,College of Business (Nanyang Business School),Accountancy (3yr direct Honours Programme),Nanyang Technological University,2700,2700,2700,95.7,2900,2938,2850,2013,97.1
202,College of Business (Nanyang Business School),Business (3yr direct Honours Programme),Nanyang Technological University,3000,2700,3000,85.7,3500,3214,3053,2013,90.9
203,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,3400,3000,3400,87.5,4100,3615,3557,2013,87.5
204,College of Engineering,Aerospace Engineering,Nanyang Technological University,3500,3100,3500,95.3,3816,3536,3494,2013,95.3
205,College of Engineering,Bioengineering,Nanyang Technological University,3125,2893,2900,68.8,3365,3166,2952,2013,81.3
206,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3200,3000,3000,85.1,3800,3377,3235,2013,87.3
207,College of Engineering,Computer Engineering,Nanyang Technological University,3175,3000,3100,88.2,3600,3374,3326,2013,90.3
